Timestamp,Generation,Iteration_in_Gen,Total_Iteration,Cost,Via_1_3_pitch,Via_1_3_antipad_diameter,Via_3_5_pitch,Via_3_5_antipad_diameter,Via_5_6_pitch,Via_5_6_antipad_diameter,Via_6_8_pitch,Via_6_8_antipad_diameter,Via_8_10_pitch,Via_8_10_antipad_diameter,BGA_antipad_diameter,Cu8_trace_gap,Cu8_trace_width,Cu1_trace_gap,Cu1_trace_width
2025-08-07 22:17:01,5,10,90,4.402582,0.220000,0.200433,0.254961,0.289738,0.398535,0.388909,0.213222,0.239617,0.201618,0.220000,0.570141,0.040480,0.030622,0.041127,0.034998
2025-08-07 22:19:18,5,11,91,5.408138,0.220000,0.244443,0.279526,0.297795,0.447630,0.398311,0.211490,0.249995,0.201213,0.220000,0.627262,0.052908,0.034925,0.043686,0.025927
2025-08-07 22:21:33,5,12,92,1.614439,0.220000,0.250000,0.280000,0.300000,0.350000,0.398386,0.216841,0.252281,0.200000,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:23:42,5,13,93,1.631679,0.220000,0.250000,0.280000,0.300000,0.350000,0.388726,0.210000,0.252281,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:25:47,5,14,94,1.777932,0.220000,0.250000,0.280000,0.300000,0.350000,0.388726,0.216841,0.252281,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:27:58,5,15,95,1.330830,0.220000,0.250000,0.280000,0.300000,0.350000,0.398386,0.210000,0.232775,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:29:47,5,16,96,1.330830,0.220000,0.250000,0.280000,0.300000,0.350000,0.398386,0.210000,0.232775,0.200000,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:31:56,5,17,97,1.337751,0.220000,0.250000,0.280000,0.300000,0.350000,0.398386,0.210000,0.237351,0.200000,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:34:01,5,18,98,1.387670,0.220000,0.250000,0.280000,0.300000,0.350000,0.398386,0.210000,0.235691,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:37:04,5,19,99,8.509375,0.220000,0.212606,0.277709,0.276156,0.411271,0.389973,0.213485,0.234179,0.202985,0.220000,0.530851,0.043030,0.020114,0.041641,0.020500
2025-08-07 22:40:47,5,20,100,5.624099,0.220000,0.249847,0.215291,0.223041,0.399379,0.391769,0.215614,0.232841,0.201765,0.220000,0.553512,0.070994,0.034818,0.043044,0.033770
